"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Epn2",6.86372005110414e-05,1.05634858093014,0.395,0.186,1
"Pitpnm3",6.91376933262862e-05,2.43125518965238,0.123,0.022,1
"Ctsb",7.24939277385905e-05,0.656430989441836,0.37,0.19,1
"Pck2",7.47892768505097e-05,3.10357579625553,0.086,0.009,1
"Siva1",7.48680493737998e-05,3.02421650804207,0.074,0.007,1
"Csf1",7.72996801505972e-05,2.12591115844131,0.074,0.009,1
"Serinc1",7.79606074018188e-05,1.37261751215008,0.333,0.153,1
"Tpbg",7.82605098766714e-05,4.81454732110713,0.049,0.002,1
"Atp8b2",8.04502779498686e-05,3.51603351027298,0.062,0.004,1
"H3f3a",8.11479162531448e-05,1.33417078667436,0.346,0.163,1
"Phka2",8.12573868051989e-05,1.33003639390393,0.321,0.133,1
"Tmem204",8.16966723702281e-05,1.23084460507694,0.099,0.022,1
"Dusp10",8.41155452619058e-05,3.01216062622986,0.086,0.01,1
"Atp2b1",8.66391708883185e-05,0.683475969106079,0.63,0.392,1
"Ttc39b",8.70940627928556e-05,0.940874660817926,0.21,0.079,1
"Xist",8.8358005597053e-05,0.530361799811686,0.778,0.561,1
"Chd6",9.05333784110884e-05,0.754217177434082,0.679,0.491,1
"Reep5",9.39547622451264e-05,1.48270512694076,0.259,0.094,1
"Hdgfl3",9.41611722036824e-05,1.74542402561043,0.185,0.052,1
"Ppfibp2",9.6174094185598e-05,0.964706679782962,0.333,0.15,1
"Frmd5",0.00010163080570815,4.43424788778686,0.049,0.002,1
"mt-Co3",0.000101970886439912,0.368923645789918,1,0.988,1
"Btaf1",0.000103798078972438,0.881339784861917,0.654,0.456,1
"Zdhhc15",0.000105432752248229,2.89255832475571,0.086,0.01,1
"Aff4",0.000111695211731929,0.466307756257458,0.642,0.413,1
"Rassf8",0.000111938163427519,1.29273033239892,0.346,0.157,1
"Cry2",0.000117314772337085,1.44848953570158,0.284,0.13,1
"Trim34a",0.000118229271437742,2.25297042153145,0.123,0.024,1
"4930523C07Rik",0.000125473389272811,1.54456287725855,0.16,0.043,1
"Ptger4",0.000130411771759307,2.67445575590241,0.111,0.019,1
"Zfp983",0.000130708661756549,1.77293124431902,0.123,0.027,1
"Phactr4",0.000132071817597494,0.724837830008172,0.654,0.438,1
"Cd82",0.000132901558539157,1.73238059954926,0.198,0.059,1
"Btbd7",0.000133261308516161,0.823393974268958,0.568,0.408,1
"Ccbe1",0.000136111194389644,0.34538954646198,0.16,0.061,1
"Cadm4",0.000137029178520204,2.04763294289583,0.111,0.022,1
"Bcl2",0.000137285993259808,0.782894700016159,0.432,0.223,1
"Disp1",0.000137864860563382,2.34842567966365,0.136,0.029,1
"Megf8",0.000151949020627337,1.94152672996489,0.173,0.048,1
"Sf3b1",0.000152409546583808,0.82524595770576,0.654,0.481,1
"Noct",0.000154597673715463,0.287119357339313,0.469,0.284,1
"Sorbs3",0.000158419767394259,2.77356875569206,0.099,0.022,1
